bake,,
barbecue,,
baste,,
boil,,
braise,,
brown,,
caramelize,,
chop,,
cut,,
deep fry,,
freeze,,
fry,,
glaze,,
grill,,
juice,,
marinate,,
microwave,,
mince,,
puree,,
refrigerage,,
roast,,
rotisserie,,
sautee,,
season,,
simmer,,
steam,,
stew,,
stir fry,,
tenderize,,
beat,,
bind,,
blackened ,,
blanch,,
blend,,
braise,,
broil,,
brown,,
brush,,
butterfly,,
carmelize,,
chop,,
coat,,
combine,,
core,,
cream,,
crimp,,
crisp,,
cure,,
deep-fry,deep fry,
deglaze,,
dice,,
dot,,
dredge,,
drizzle,,
dust,,
fold,,
fry,,
garnish,,
glaze,,
grate,,
grease,,
grill,,
grind,,
knead,,
marinate,,
mince,,
pan fry,pan-fry,
poach,,
pressure cook,,
puree,,
reduce,,
roast,,
sautee,saute,sauté
scald,,
score,,
sear,,
season,,
set,,
shred,,
sift,,
simmer,,
skim,,
steam,,
steep,,
stewing,,
stir fry,stir-fry,
thin,,
toss,,
unleavened,,
whip,,
whisk,,
