abiu,jatoba,riberry,chinese olive,monstera,wild plum
acai,jelly palm,safou,chinese quince,montessa granadilla,wild mangosteen
acerola,kabosu,sageretia,chokeberry,mora comun,wineberry
barbados cherry,kaffir lime,saguaro,chokecherry,mora de castilla,wolfberry
west indian cherry,kahikatea,salak,chupa-chupa,morinda,wongi
ackee,kakadu lime,salal,citron,morinda citrifolia,wood apple
african cherry orange,kakadu plum,salmonberry,clementine,mortino,yellow mombin
african mango,kandis,sandpaper fig,cloudberry,mountain pepper,yellow plum
african moringa,kapok,santol,cluster fig,mointain soursop,yew
ambarella,karkalla,sapote,cocky apple,mulberry,youngberry
american black elderberry,karonda,sapodilla,coco plum,mundu,ziziphus
american chestnut,kei apple,satinash,cocona,muntries,apple
american grape,kepel fruit,saskatoonberry,coconut,muscadine,chokeberry
american hazelnut,keule,saw palmetto,cocoplum,muskmelon,hawthorn
american pawpaw,lady apple,sea-buckthorn,coffee,native raspberry,loquat
avocado,lakoocha,sea grape,cola nut,nectarine,medlar
babaco,langsat,serviceberry,common apple-berry,neem,pear
bacupari,lanzones,shipova,conkerberry,nere,quince
bacuri,lapsi,sloe,cornelian cherry,nonda plum,rose hip
bael,lardizabala,small-leaf tamarind,costa rican guava,noni,rowan
banana,lemon,snow berry,cranberry,nungu,service tree
barbadine,lemon aspen,soncoya,crowberry,nutmeg,service berry
batuan,leucaena,service tree,cupuacu,oregon grape,shipova
beach plum,lillypilly,tahitian apple,currant,oroblanco,apricot
bearberry,little gooseberry tree,tamarillo,curry-leaf tree,otaheite gooseberry,chokecherry
bilimbi,ma-praang,tree tomato,custard apple,pink-flowered native raspberry,greengage
biriba,mabolo,tamarind,desert lime,pistachio,peach
bitter melon,macadamia,manila tamarind,dodder laurel,pitaya,pluot
black apple,madrono,monkey tamarind,doubah,pitomba,aprium
black cherry,malabar plum,velvet tamarind,double coconut,plum,peacotum
black raspberry,malay apple,tangerine,coco-de-mer,pois doux,boquila
black mulberry,marney sapote,ugni,dragonfruit,pomegranate,elaeocarpaceae
caimito,mammee apple,vanilla,pitaya,pomelo,goumi
calabash tree,mamoncillo,wampee,duku,pommecythere,keule
calamondin,mandarin,water apple,durian,pomcite,lardizabala
calamansi,magaba,watermelon,emblica,golden apple,maqui
camucamu,mango,wax apple,emu apple,june plum,peumo
canary melon,mangosteen,wax gourd,emu berry,jew plum,cloudberry
canistel,manila tamarind,winter melon,fig,ambarella,loganberry
cantaloupe,manoao,wax jambu,finger lime,cajamanga,salmonberry
cape gooseberry,maqui,white aspen,florida strangler fig,pommerac,thimbleberry
capuli cherry,marang,white mulberry,forest strawberries,otaheite apple,wineberry
carambola,marula,white sapite,grape,malay apple,bearberry
star fruit,mayan breadnut,yangmei,raisin,jambo,bilberry
five fingers,mayapple,yantok,sultana,pong-apple,blueberry
cardon,mayhaw,yellow granadilla,grapefruit,alligator-apple,crowberry
carob,maypop,zig zag vine,greengage,monkey-apple,cranberry
cashew apple,medlar,american plum,ground plum,prickly pear,falberry
cassabanana,meiwa kumquat,american red elderberry,grumichama,pulasan,huckleberry
cattley guava,melinjo,american red raspberry,guanabana,pummelo,lingonberry
cawesh,naartjie,red raspberry,guarana,pumpkin,currant
cedar bay cherry,nagami kumquat,raspberry,guava,pupunha,elderberry
ceriman,nagela,apple,cattley guava,purple apple-berry ,gooseberry
cereus peruvianus,nance,crabapple,chilean guava,purple granadilla,hackberry
ceylon gooseberry,nannyberry,malay apple,costa rican guava,purple guava,honeysuckle
charichuelo,sheepberry,custard apple,pineapple guava,purple mombin,mulberry
chayote,naranjilla,elephant apple,purple guava,quince,mayapple
che,native currant,kei apple,strawberry guava,rimu,nannyberry
chempedak,native gooseberry,mammee apple,guavaberry,rollinia,oregon grape
champedak,oil palm,apricot,rumberry,rose apple,sea-buckthorn
chenet,olive,araza,honeydew,rose hip,ugni
cherimoya,orange,arhat,honeysuckle,rose-leaf bramble,wolfberry
damson plum,palmyra palm,atemoya,horned melon,rose myrtil,date
date,toddy palm,atherton raspberry,huckleberry,rough shell macadamia,pomegranate
date plug,papaya,avocado,huito,rowan,tangerine
davidson's plum,passion fruit,black sapote,indian fig,soursop,
dead man's fingers,granadilla,black walnut,indian gooseberry,sothern crabapple,
blue bean,pawpaw,blackberry,indian jujube,spanish lime,
blue sausage fruit,peach,dewberry,indian prune,spanish tamarind,
desert banana,peach palm,boysenberry,jocote,spiny monkey-orange,
desert fig,nectarine,olallieberry,jujube,star apple,
eastern may hawthorn,peanut,tayberry,juniper berry,starfruit,
elderberry,peanut butter fruit,blood orange,key lime,strawberry,
elephant apple,pear,blue tongue,kitembilla,strawberry guava,
falberry,pecan,blueberry,kiwano,strawberry myrtle,
false-mastic,pepino,bolivian coconut,kiwifruit,ugni,
feijoa,pequi,bolwarra,korlan,strawberry pear,
fibrous satinash,persian lime,boquila,kumquat,sugar apple,
gac,persimmon,bottle gourd,meiwa kumquat,surinam cherry,
galia melon,american persimmon,brazilian guava,nagami kumquat,brazillian cherry,
